sensor,wasserstein,sym_kl,mean_diff,std_ratio,ks_p
sensor1,70.7452261824532,27.459360046524047,-70.74522618245317,0.8507113495249862,0.0
sensor10,0.09795091178716209,14.446721527576274,-0.09700665345356208,0.9129286252733994,0.0
sensor11,6.258247371376175,18.714203575624992,-6.258247371376179,0.8512406128129026,0.0
sensor12,52.39248400605604,14.050081079423784,-39.950487193509275,0.8500723493694746,0.0
sensor13,350.10084291627686,24.995319941685814,-350.0962176955361,0.8499256412857742,0.0
sensor14,1210.0766007700936,43.28615514763357,-1210.076600770094,0.8499854413498005,0.0
sensor15,1.251377021903736,18.37728585667281,-1.2513770219037355,0.8432120683514517,0.0
sensor16,0.12241961213818509,61.59803062518506,0.12241961213818511,4.987262390536071,0.0
sensor17,52.090227334455605,18.05863945644376,-52.09022733445556,0.8502682538192868,0.0
sensor18,334.20087892595126,22.06312010016201,-334.1958468290288,0.8499446228629071,0.0
sensor19,14.6037666378444,27.668971968690244,-14.603550434154187,0.850075218349242,0.0
sensor2,86.7085603933668,23.704716334004793,-86.70856039336684,0.8499363964182747,0.0
sensor20,3.7933367570815046,16.55011086268115,-2.973809028444183,0.8519693228678935,0.0
sensor21,2.249386310748214,16.748485677176884,-1.7305762669224158,0.8508296587192375,0.0
sensor3,212.5680951569277,18.13020763845117,-212.56809515692794,0.8499715237410561,0.0
sensor4,180.23841649254103,14.76872225275521,-180.2282505823224,0.8500387674651205,0.0
sensor5,1.349893024411843,19.87703808580972,-1.0608091227832928,0.8548376535422547,0.0
sensor6,1.9696515337647147,19.5475244409469,-1.580147252430427,0.8498701433728165,0.0
sensor7,55.55419629602216,14.027730370478846,-42.38518005009152,0.8499986865375151,0.0
sensor8,334.25009483776836,22.066880858987044,-334.2452170571546,0.849953969453777,0.0
sensor9,1278.6160586982032,31.712670074997757,-1278.6160586982014,0.8499624235729645,0.0
